frag	flores	n.halict	n.apis
3.3659	52	4	3
2.6806	1	0	0
3.9629	10	0	1
3.4081	17	3	1
3.9732	27	2	0
3.8999	10	2	1
2.6896	15	0	2
3.8461	10	1	3
2.7678	11	0	0
5.03195	5	0	1
2.768	10	0	0
2.7214	3	0	1
3.23	13	0	1
2.3504	11	0	1
2.5509	6	1	0
2.7043	10	0	1
2.4214	38	0	3
2.2277	26	0	3
2.618	10	0	3
3.0552	16	0	0
4.4497	34	0	0
3.844	8	1	0
3.1366	17	0	0
2.9332	19	0	0
3.7721	19	0	0
4.3365	17	0	1
3.1902	11	0	1
2.0761	9	0	1
3.2538	4	0	0
3.0608	15	1	0
2.4739	8	2	0
2.6565	6	2	1
3.0213	19	0	1
3.1582	24	2	1
2.3254	32	1	1
3.3756	21	0	0
4.1788	16	4	0
3.1044	9	0	0
5.4045	19	2	0
3.3257	18	1	0
